id,lat,long
"369286WKal - Kalbis R. (Caria)",36.8535,28.6329
"369307PAtt - Attaleia (Pisidia)",36.8853,30.7086
"369312PAsp - Aspendos (Pamphylia)",36.939,31.172
"369312WEur - Eurymedon R. (Asia Minor)",36.911,31.159
"369349UTar - Tarsus (Anatolia)",36.9122,34.897
"370153SPle - Plemmyrion cape (Sicily)",37.028,15.3067
"370216UEra - Erana (Messenia)",37.1198,21.5764
"370217LKor - Koryphasion cape (Messenia)",36.951,21.658
"374217UPyl - Triphylian Pylos (Ileia)",37.45,21.65
"370217UPyl - Pylos/Koryphasion cape (Messenia)",36.9517,21.66
"370219PKor - Korone (Messenia)",36.9542,21.9279
"370220UAnt - Antheia? (Messenia)",37.112,22.041
"370221UAbi - Abia (Messenia)",36.9643,22.1425
"370221UPhe - Pherai (Messenia)",37.046,22.113
"370222UKal - Kalamai (Messenia)",37.0427,22.1793
"370223LTay - Taygetos Mt. (Lakonia)",36.9535,22.35
"370223UAla - Alagonia? (Messenia)",36.9556,22.2612
"370223UPha - Pharis? (Lakonia)",37.021,22.465
"370224UAle - Alesiai (Lakonia)",37.0433,22.4135
"370224UAmy - Amyklai (Lakonia)",37.0363,22.4502
"370224ULap - Lapithaion (Lakonia)",36.9896,22.4301
"370225RLak - Lakonia region (Peloponnese)",37.001,22.5
"370227PGer - Geronthrai (Lakonia)",36.9922,22.7069
"370227USel - Selinous (Lakonia)",37.035,22.692
"370228UMar - Marios (Arkadia)",37.023,22.83
"370230PKyp - Kyphanta (Lakonia)",36.9683,22.9925
"370240WMyr - Myrtoan Sea (Cyclades)",37.01,24.01
"370247PSip - Siphnos (Cyclades)",36.975,24.745
"370250IOli - Oliaros (Antiparos)",37.0006,25.0451
"370250IPre - Prepesinthos (Antiparos)",36.9606,25.0001
"370252LMar - Marpessa Mt. (Paros)",37.0469,25.18
"370265ILeb - Lebinthos (Lebintha)",37.005,26.459
"370269ITel - Telendos (Kalymnos)",36.997,26.919
"370270IKal - Kalymna (Kalymnos)",36.9833,26.9833
"370273UPal - Palaia Myndos (Caria)",37.0314,27.2591
"370273UTel - Telmissos (Caria)",37.0397,27.3178
"370273UTer - Termera (Caria)",36.9959,27.2984
"370274BMau - Mausoleum of Halikarnassos (Caria)",37.0379,27.424
"370274PHal - Halikarnassos (Caria)",37.0323,27.4238
"370275IArk - Arkonnesos (Caria)",36.9739,27.4625
"370276UThe - Theangela (Caria)",37.0445,27.5949
"370278UPar - Pargasa/Bargasa (Caria)",37.0252,27.7766
"370280UKer - Keramos (Caria)",37.0417,27.9562
"370282UKed - Kedreai (Caria)",36.9921,28.2065
"370283UKal - Kallipolis (Caria)",36.9913,28.2723
"370287RKar - Caria region (Asia Minor)",37.01,28.7
"370294UBou - Boubon (Caria)",36.974,29.4152
"370305PTer - Termessos (Pisidia)",36.982,30.465
"370306RPis - Pisidia region (Asia Minor)",37.01,30.6
"370309PPer - Perge (Pamphylia)",36.961,30.856
"370320RPam - Pamphylia region (Asia Minor)",37.01,32.01
"370340RCil - Cilicia region (Asia Minor)",37.01,34.01
"371139LEkn - Eknomos? (Sicily)",37.103,13.91
"371143PGel - Gela (Sicily)",37.063,14.2587
"371148UCas - Kasmenai (Sicily)",37.0768,14.828
"371149UAcr - Acrae (Sicily)",37.058,14.8944
"371153IOrt - Ortygia island (Syracuse)",37.0625,15.2932
"371153PSyr - Syracuse (Sicily)",37.0639,15.293
"371153WAna - Anapos R. (Sicily)",37.0565,15.255
"371153WAre - Arethousa (Sicily)",37.0573,15.2929
"371216IPro - Prote (Messenia)",37.042,21.5547
"371216LPla - Platamodes cape (Messenia)",37.0592,21.5739
"371220PTho - Thouria (Messenia)",37.1092,22.0506
"371222SLim - Artemis Limnatis sanct. (Messenia)",37.1109,22.1714
"371222ULim - Limnai (Messenia)",37.1217,22.1918
"371224DPit - Pitane (Lakonia)",37.09,22.388
"371224PSpa - Sparta/Lacedaemon (Lakonia)",37.0821,22.4237
"371224SArt - Artemis Ortheia (Lakonia)",37.083,22.435
"371224SZMe - Zeus Messapeus (Lakonia)",37.1083,22.4545
"371224WEur - Eurotas R. (Lakonia)",37.093,22.427
"371224WOin - Oinous R. (Lakonia)",37.13,22.419
"371225UThe - Therapne (Lakonia)",37.0736,22.534
"371227LPar - Parnon Mt. (Lakonia)",37.11,22.73
"371229PPra - Prasiai (Arkadia)",37.145,22.8882
"371229UPol - Polichna (Arkadia)",37.1133,22.9051
"371252PPar - Paros (Cyclades)",37.0844,25.1483
"371252SDel - Delian Apollo (Paros)",37.1035,25.1549
"371255INax - Naxos island/polis (Cyclades)",37.1059,25.377
"371257INik - Nikasiai islands (Naxos)",37.082,25.6974
"371271PLep - Lepsimandos (Kalymnos)",37.0576,27.0948
